"Date","Depth","TN_interp"
2014-05-05,0.1,188
2014-05-05,1,163
2014-05-05,1.6,158
2014-05-05,2.8,147
2014-05-05,3.8,156
2014-05-05,5,154
2014-05-05,5.2,NA
2014-05-05,5.5,NA
2014-05-05,5.8,NA
2014-05-05,6,NA
2014-05-05,6.2,210
2014-05-05,8,140
2014-05-05,9,156
2014-05-05,9.3,NA
2014-05-06,0.1,182.833333333333
2014-05-06,1,161.5
2014-05-06,1.6,156.666666666667
2014-05-06,2.8,147
2014-05-06,3.8,156
2014-05-06,5,153.833333333333
2014-05-06,5.2,NA
2014-05-06,5.5,NA
2014-05-06,5.8,NA
2014-05-06,6,NA
2014-05-06,6.2,202.333333333333
2014-05-06,8,142
2014-05-06,9,166.833333333333
2014-05-06,9.3,NA
2014-05-07,0.1,177.666666666667
2014-05-07,1,160
2014-05-07,1.6,155.333333333333
2014-05-07,2.8,147
2014-05-07,3.8,156
2014-05-07,5,153.666666666667
2014-05-07,5.2,NA
2014-05-07,5.5,NA
2014-05-07,5.8,NA
2014-05-07,6,NA
2014-05-07,6.2,194.666666666667
2014-05-07,8,144
2014-05-07,9,177.666666666667
2014-05-07,9.3,NA
2014-05-08,0.1,172.5
2014-05-08,1,158.5
2014-05-08,1.6,154
2014-05-08,2.8,147
2014-05-08,3.8,156
2014-05-08,5,153.5
2014-05-08,5.2,NA
2014-05-08,5.5,NA
2014-05-08,5.8,NA
2014-05-08,6,NA
2014-05-08,6.2,187
2014-05-08,8,146
2014-05-08,9,188.5
2014-05-08,9.3,NA
2014-05-09,0.1,167.333333333333
2014-05-09,1,157
2014-05-09,1.6,152.666666666667
2014-05-09,2.8,147
2014-05-09,3.8,156
2014-05-09,5,153.333333333333
2014-05-09,5.2,NA
2014-05-09,5.5,NA
2014-05-09,5.8,NA
2014-05-09,6,NA
2014-05-09,6.2,179.333333333333
2014-05-09,8,148
2014-05-09,9,199.333333333333
2014-05-09,9.3,NA
2014-05-10,0.1,162.166666666667
2014-05-10,1,155.5
2014-05-10,1.6,151.333333333333
2014-05-10,2.8,147
2014-05-10,3.8,156
2014-05-10,5,153.166666666667
2014-05-10,5.2,NA
2014-05-10,5.5,NA
2014-05-10,5.8,NA
2014-05-10,6,NA
2014-05-10,6.2,171.666666666667
2014-05-10,8,150
2014-05-10,9,210.166666666667
2014-05-10,9.3,NA
2014-05-12,0.1,157
2014-05-12,1,154
2014-05-12,1.6,150
2014-05-12,2.8,147
2014-05-12,3.8,156
2014-05-12,5,153
2014-05-12,5.2,NA
2014-05-12,5.5,NA
2014-05-12,5.8,NA
2014-05-12,6,NA
2014-05-12,6.2,164
2014-05-12,8,152
2014-05-12,9,221
2014-05-12,9.3,NA
2014-05-14,0.1,165
2014-05-14,1,173.333333333333
2014-05-14,1.6,152.333333333333
2014-05-14,2.8,157.666666666667
2014-05-14,3.8,160.666666666667
2014-05-14,5,160
2014-05-14,5.2,NA
2014-05-14,5.5,NA
2014-05-14,5.8,NA
2014-05-14,6,NA
2014-05-14,6.2,162
2014-05-14,8,151.666666666667
2014-05-14,9,203.333333333333
2014-05-14,9.3,NA
2014-05-15,0.1,173
2014-05-15,1,192.666666666667
2014-05-15,1.6,154.666666666667
2014-05-15,2.8,168.333333333333
2014-05-15,3.8,165.333333333333
2014-05-15,5,167
2014-05-15,5.2,NA
2014-05-15,5.5,NA
2014-05-15,5.8,NA
2014-05-15,6,NA
2014-05-15,6.2,160
2014-05-15,8,151.333333333333
2014-05-15,9,185.666666666667
2014-05-15,9.3,NA
2014-05-19,0.1,181
2014-05-19,1,212
2014-05-19,1.6,157
2014-05-19,2.8,179
2014-05-19,3.8,170
2014-05-19,5,174
2014-05-19,5.2,NA
2014-05-19,5.5,NA
2014-05-19,5.8,NA
2014-05-19,6,NA
2014-05-19,6.2,158
2014-05-19,8,151
2014-05-19,9,168
2014-05-19,9.3,NA
2014-05-22,0.1,163
2014-05-22,1,182
2014-05-22,1.6,163.75
2014-05-22,2.8,171
2014-05-22,3.8,171.5
2014-05-22,5,166.5
2014-05-22,5.2,NA
2014-05-22,5.5,NA
2014-05-22,5.8,NA
2014-05-22,6,NA
2014-05-22,6.2,157.5
2014-05-22,8,146.5
2014-05-22,9,164.5
2014-05-22,9.3,NA
2014-05-26,0.1,145
2014-05-26,1,152
2014-05-26,1.6,170.5
2014-05-26,2.8,163
2014-05-26,3.8,173
2014-05-26,5,159
2014-05-26,5.2,NA
2014-05-26,5.5,NA
2014-05-26,5.8,NA
2014-05-26,6,NA
2014-05-26,6.2,157
2014-05-26,8,142
2014-05-26,9,161
2014-05-26,9.3,NA
2014-05-28,0.1,174
2014-05-28,1,165
2014-05-28,1.6,177.25
2014-05-28,2.8,170
2014-05-28,3.8,178
2014-05-28,5,162.5
2014-05-28,5.2,NA
2014-05-28,5.5,NA
2014-05-28,5.8,NA
2014-05-28,6,NA
2014-05-28,6.2,158
2014-05-28,8,138.5
2014-05-28,9,169.5
2014-05-28,9.3,NA
2014-06-02,0.1,203
2014-06-02,1,178
2014-06-02,1.6,184
2014-06-02,2.8,177
2014-06-02,3.8,183
2014-06-02,5,166
2014-06-02,5.2,NA
2014-06-02,5.5,NA
2014-06-02,5.8,NA
2014-06-02,6,NA
2014-06-02,6.2,159
2014-06-02,8,135
2014-06-02,9,178
2014-06-02,9.3,NA
2014-06-03,0.1,195.6
2014-06-03,1,181.2
2014-06-03,1.6,187.8
2014-06-03,2.8,179
2014-06-03,3.8,182.8
2014-06-03,5,167
2014-06-03,5.2,NA
2014-06-03,5.5,NA
2014-06-03,5.8,NA
2014-06-03,6,NA
2014-06-03,6.2,165.8
2014-06-03,8,160.2
2014-06-03,9,199.6
2014-06-03,9.3,NA
2014-06-04,0.1,188.2
2014-06-04,1,184.4
2014-06-04,1.6,191.6
2014-06-04,2.8,181
2014-06-04,3.8,182.6
2014-06-04,5,168
2014-06-04,5.2,NA
2014-06-04,5.5,NA
2014-06-04,5.8,NA
2014-06-04,6,NA
2014-06-04,6.2,172.6
2014-06-04,8,185.4
2014-06-04,9,221.2
2014-06-04,9.3,NA
2014-06-05,0.1,180.8
2014-06-05,1,187.6
2014-06-05,1.6,195.4
2014-06-05,2.8,183
2014-06-05,3.8,182.4
2014-06-05,5,169
2014-06-05,5.2,NA
2014-06-05,5.5,NA
2014-06-05,5.8,NA
2014-06-05,6,NA
2014-06-05,6.2,179.4
2014-06-05,8,210.6
2014-06-05,9,242.8
2014-06-05,9.3,NA
2014-06-06,0.1,173.4
2014-06-06,1,190.8
2014-06-06,1.6,199.2
2014-06-06,2.8,185
2014-06-06,3.8,182.2
2014-06-06,5,170
2014-06-06,5.2,NA
2014-06-06,5.5,NA
2014-06-06,5.8,NA
2014-06-06,6,NA
2014-06-06,6.2,186.2
2014-06-06,8,235.8
2014-06-06,9,264.4
2014-06-06,9.3,NA
2014-06-09,0.1,166
2014-06-09,1,194
2014-06-09,1.6,203
2014-06-09,2.8,187
2014-06-09,3.8,182
2014-06-09,5,171
2014-06-09,5.2,NA
2014-06-09,5.5,NA
2014-06-09,5.8,NA
2014-06-09,6,NA
2014-06-09,6.2,193
2014-06-09,8,261
2014-06-09,9,286
2014-06-09,9.3,NA
2014-06-12,0.1,190.45
2014-06-12,1,164.35
2014-06-12,1.6,170.35
2014-06-12,2.8,160.85
2014-06-12,3.8,168.3
2014-06-12,5,152.35
2014-06-12,5.2,NA
2014-06-12,5.5,NA
2014-06-12,5.8,NA
2014-06-12,6,NA
2014-06-12,6.2,177.3
2014-06-12,8,237.4
2014-06-12,9,269.1
2014-06-12,9.3,NA
2014-06-16,0.1,214.9
2014-06-16,1,134.7
2014-06-16,1.6,137.7
2014-06-16,2.8,134.7
2014-06-16,3.8,154.6
2014-06-16,5,133.7
2014-06-16,5.2,NA
2014-06-16,5.5,NA
2014-06-16,5.8,NA
2014-06-16,6,NA
2014-06-16,6.2,161.6
2014-06-16,8,213.8
2014-06-16,9,252.2
2014-06-16,9.3,NA
2014-06-19,0.1,183.25
2014-06-19,1,148.7
2014-06-19,1.6,181.35
2014-06-19,2.8,158.4
2014-06-19,3.8,192.8
2014-06-19,5,164.35
2014-06-19,5.2,NA
2014-06-19,5.5,NA
2014-06-19,5.8,NA
2014-06-19,6,NA
2014-06-19,6.2,182.8
2014-06-19,8,224.7
2014-06-19,9,282.05
2014-06-19,9.3,NA
2014-06-23,0.1,151.6
2014-06-23,1,162.7
2014-06-23,1.6,225
2014-06-23,2.8,182.1
2014-06-23,3.8,231
2014-06-23,5,195
2014-06-23,5.2,NA
2014-06-23,5.5,NA
2014-06-23,5.8,NA
2014-06-23,6,NA
2014-06-23,6.2,204
2014-06-23,8,235.6
2014-06-23,9,311.9
2014-06-23,9.3,NA
2014-06-25,0.1,216.8
2014-06-25,1,193.85
2014-06-25,1.6,277.5
2014-06-25,2.8,193.55
2014-06-25,3.8,257.5
2014-06-25,5,203.5
2014-06-25,5.2,NA
2014-06-25,5.5,NA
2014-06-25,5.8,NA
2014-06-25,6,NA
2014-06-25,6.2,212
2014-06-25,8,224.3
2014-06-25,9,330.95
2014-06-25,9.3,NA
2014-06-29,0.1,282
2014-06-29,1,225
2014-06-29,1.6,330
2014-06-29,2.8,205
2014-06-29,3.8,284
2014-06-29,5,212
2014-06-29,5.2,NA
2014-06-29,5.5,NA
2014-06-29,5.8,NA
2014-06-29,6,NA
2014-06-29,6.2,220
2014-06-29,8,213
2014-06-29,9,350
2014-06-29,9.3,NA
2014-06-30,0.1,220
2014-06-30,1,257
2014-06-30,1.6,216
2014-06-30,2.8,211
2014-06-30,3.8,220
2014-06-30,5,211
2014-06-30,5.2,NA
2014-06-30,5.5,NA
2014-06-30,5.8,NA
2014-06-30,6,NA
2014-06-30,6.2,197
2014-06-30,8,197
2014-06-30,9,263
2014-06-30,9.3,NA
2014-07-01,0.1,250.333333333333
2014-07-01,1,236.666666666667
2014-07-01,1.6,216.333333333333
2014-07-01,2.8,213.333333333333
2014-07-01,3.8,201
2014-07-01,5,201.666666666667
2014-07-01,5.2,NA
2014-07-01,5.5,NA
2014-07-01,5.8,NA
2014-07-01,6,NA
2014-07-01,6.2,191.333333333333
2014-07-01,8,192.333333333333
2014-07-01,9,259.333333333333
2014-07-01,9.3,NA
2014-07-02,0.1,280.666666666667
2014-07-02,1,216.333333333333
2014-07-02,1.6,216.666666666667
2014-07-02,2.8,215.666666666667
2014-07-02,3.8,182
2014-07-02,5,192.333333333333
2014-07-02,5.2,NA
2014-07-02,5.5,NA
2014-07-02,5.8,NA
2014-07-02,6,NA
2014-07-02,6.2,185.666666666667
2014-07-02,8,187.666666666667
2014-07-02,9,255.666666666667
2014-07-02,9.3,NA
2014-07-07,0.1,311
2014-07-07,1,196
2014-07-07,1.6,217
2014-07-07,2.8,218
2014-07-07,3.8,163
2014-07-07,5,183
2014-07-07,5.2,NA
2014-07-07,5.5,NA
2014-07-07,5.8,NA
2014-07-07,6,NA
2014-07-07,6.2,180
2014-07-07,8,183
2014-07-07,9,252
2014-07-07,9.3,NA
2014-07-09,0.1,267.5
2014-07-09,1,223.5
2014-07-09,1.6,205.5
2014-07-09,2.8,237
2014-07-09,3.8,218.5
2014-07-09,5,209
2014-07-09,5.2,NA
2014-07-09,5.5,NA
2014-07-09,5.8,NA
2014-07-09,6,NA
2014-07-09,6.2,206.5
2014-07-09,8,169.5
2014-07-09,9,233
2014-07-09,9.3,NA
2014-07-14,0.1,224
2014-07-14,1,251
2014-07-14,1.6,194
2014-07-14,2.8,256
2014-07-14,3.8,274
2014-07-14,5,235
2014-07-14,5.2,NA
2014-07-14,5.5,NA
2014-07-14,5.8,NA
2014-07-14,6,NA
2014-07-14,6.2,233
2014-07-14,8,156
2014-07-14,9,214
2014-07-14,9.3,NA
2014-07-16,0.1,181.8
2014-07-16,1,209.35
2014-07-16,1.6,180.85
2014-07-16,2.8,222.7
2014-07-16,3.8,230.15
2014-07-16,5,211.7
2014-07-16,5.2,NA
2014-07-16,5.5,NA
2014-07-16,5.8,NA
2014-07-16,6,NA
2014-07-16,6.2,200.35
2014-07-16,8,162.4
2014-07-16,9,210.5
2014-07-16,9.3,NA
2014-07-21,0.1,139.6
2014-07-21,1,167.7
2014-07-21,1.6,167.7
2014-07-21,2.8,189.4
2014-07-21,3.8,186.3
2014-07-21,5,188.4
2014-07-21,5.2,NA
2014-07-21,5.5,NA
2014-07-21,5.8,NA
2014-07-21,6,NA
2014-07-21,6.2,167.7
2014-07-21,8,168.8
2014-07-21,9,207
2014-07-21,9.3,NA
2014-07-23,0.1,152.65
2014-07-23,1,166.7
2014-07-23,1.6,165.2
2014-07-23,2.8,182.15
2014-07-23,3.8,185.25
2014-07-23,5,179.1
2014-07-23,5.2,NA
2014-07-23,5.5,NA
2014-07-23,5.8,NA
2014-07-23,6,NA
2014-07-23,6.2,167.7
2014-07-23,8,159.7
2014-07-23,9,190.95
2014-07-23,9.3,NA
2014-07-28,0.1,165.7
2014-07-28,1,165.7
2014-07-28,1.6,162.7
2014-07-28,2.8,174.9
2014-07-28,3.8,184.2
2014-07-28,5,169.8
2014-07-28,5.2,NA
2014-07-28,5.5,NA
2014-07-28,5.8,NA
2014-07-28,6,NA
2014-07-28,6.2,167.7
2014-07-28,8,150.6
2014-07-28,9,174.9
2014-07-28,9.3,NA
2014-07-30,0.1,167.733333333333
2014-07-30,1,166.033333333333
2014-07-30,1.6,160.333333333333
2014-07-30,2.8,171.166666666667
