Site,lat,lon,PO4_ppb
B01,37.314783,-79.820864,6.47
B100,37.31957,-79.82437,11.6
B20 ,37.3170135,-79.8226419,4.2
B200,37.322851,-79.81721,0.571
B30,37.31921,-79.818226,7.97
B45,37.314465,-79.818717,-0.207
B50,37.31288,-79.81593,9.37
F01,37.30247,-79.83692,12.1
F100,37.30858,-79.83494,18
F101,37.309653,-79.830467,23.7
F102,37.311678,-79.827357,7.05
F20,37.30769,-79.8371,
F200,37.30943,-79.83619,6.92
F30,37.30534,-79.83825,13.9
F45,37.30418,-79.83833,8.2
F50,37.30325,-79.83726,8.16
F99,37.307613,-79.8360878,16.2
