"Chla_log","Chla_ARlag1_log","Temp_C","DO_mgL","SpCond_uScm","Turb_NTU_log","Kd","TP_log","TN_log","NH4_log","NO3NO2_log","SRP_log","DOC_log","TP_inf_log","TN_inf_log","NH4_inf_log","DOC_inf_log","NO3NO2_inf","SRP_inf","NH4NO3_SRP_inf","mean_flow","NO3NO2_load","SRP_load","TN_TP_log","NH4NO3NO2_SRP_log","TN_TP_inf_log","TN_load_log","TP_load_log","NH4_load_log","DOC_load_log","mean_wrt_log","flow_max_log","flow_min","flow_median","Temp_inf_mean","Temp_inf_max","Temp_inf_min","RelHum_max_log","AirTemp_max_log","AirTemp_mean_log","AirTemp_median_log","Rain_sum_log","WindSpeed_max_log","WindSpeed_mean_log","WindSpeed_median_log","RelHum_mean","RelHum_median","ShortWave_max","ShortWave_mean"
1,0.663003663003663,-0.356532356532357,-0.247863247863248,0.664224664224664,0.610050582671806,1,0.187786268296079,0.4393222459977,-0.417012326172109,-0.236658243441766,-0.102141275693434,NA,NA,NA,-0.245829908470723,0.415750793808839,0.164580160344044,0.2509232675648,-0.287894981220174,-0.673382173382173,-0.243589743589744,-0.277167277167277,0.197802197802198,-0.137593834681925,NA,NA,NA,-0.431013431013431,-0.507936507936508,0.673382173382173,-0.598350753059463,-0.777947610026775,-0.702719513033614,-0.34004884004884,-0.364524504323317,-0.355976190989102,0.319474540159069,-0.752136752136752,-0.721001221001221,-0.746642246642247,0.0964098151162317,-0.141025641025641,-0.153846153846154,-0.0683760683760684,0.275335775335775,0.248473748473748,-0.602564102564103,-0.698412698412698
0.663003663003663,1,-0.431013431013431,0.00854700854700855,0.631868131868132,0.602108011239925,1,0.222290086698448,0.310181655270092,-0.421088386503115,-0.179479070529662,-0.00646074334205455,NA,NA,NA,-0.209093184913454,0.190295430103898,-0.0247328255804592,0.214726512586015,-0.293695622411249,-0.59035409035409,-0.419413919413919,-0.351648351648352,0.103785103785104,-0.232074934496846,NA,NA,NA,-0.400488400488401,-0.553113553113553,0.59035409035409,-0.504887082596882,-0.685094813227349,-0.61044938567007,-0.43956043956044,-0.427720963615551,-0.484811484811916,0.156527238814778,-0.645299145299145,-0.656288156288156,-0.665445665445665,-0.0236359546736568,0.105006105006105,0.00976800976800977,0.0451770451770452,0.0293040293040293,-0.00122100122100122,-0.336385836385836,-0.433455433455433
-0.356532356532357,-0.431013431013431,1,-0.625763125763126,-0.346764346764347,-0.716969813485593,-1,0.0222900773749818,-0.00885361023900854,0.181541456280941,-0.00698856557814612,0.512859959581187,NA,NA,NA,0.418492509189886,0.0385525587730749,0.450076356859221,0.301537374102932,-0.0103800947629755,0.315628815628816,0.732600732600733,0.703296703296703,-0.0879120879120879,-0.296285390681744,NA,NA,NA,0.363858363858364,0.395604395604396,-0.315628815628816,0.320708673155914,0.356750219282008,0.341888319602006,0.969474969474969,0.980308361291601,0.954052827479369,0.0684806669814654,0.557387057387057,0.699023199023199,0.702075702075702,0.221431575363732,0.0958485958485959,0.0897435897435897,0.0347985347985348,-0.0341880341880342,-0.00976800976800977,0.0299145299145299,0.13980463980464
-0.247863247863248,0.00854700854700855,-0.625763125763126,1,-0.241758241758242,0.324728978157301,1,-0.0610687051369364,-0.204548926211577,0.063649249784164,0.183926339533937,-0.22581836252705,NA,NA,NA,-0.360938308950165,-0.33062674403789,-0.50351147385404,-0.279144466361819,0.0863990240565316,0.145909645909646,-0.488400488400488,-0.401098901098901,-0.0463980463980464,0.138816890990208,NA,NA,NA,-0.210622710622711,-0.116605616605617,-0.145909645909646,0.11331706451509,0.210445976956595,0.161319957774673,-0.613553113553114,-0.606014356014895,-0.600824308633407,-0.326200319951891,-0.0323565323565324,-0.143467643467643,-0.120879120879121,-0.287985447734292,0.0396825396825397,0.057997557997558,0.0818070818070818,-0.23992673992674,-0.278388278388278,0.336385836385836,0.313797313797314
0.664224664224664,0.631868131868132,-0.346764346764347,-0.241758241758242,1,0.40262727489306,1,0.0625954227653598,0.48694856314547,-0.397886196926621,-0.544155128880196,-0.244277629218634,NA,NA,NA,-0.266035106427221,0.305644685952938,0.0613740486626211,0.202763178313365,-0.233857429071743,-0.741147741147741,-0.457875457875458,-0.482295482295482,0.381562881562882,-0.0516741290249895,NA,NA,NA,-0.487789987789988,-0.595848595848596,0.741147741147741,-0.723579854006058,-0.762064894784768,-0.750993288276793,-0.382783882783883,-0.387421772182822,-0.3791787557534,0.1874046824091,-0.655067155067155,-0.665445665445665,-0.691697191697192,-0.0143059725656344,0.00244200244200244,-0.0293040293040293,-0.0128205128205128,0.0494505494505494,-0.0384615384615385,-0.521978021978022,-0.617216117216117
0.610050582671806,0.602108011239925,-0.716969813485593,0.324728978157301,0.40262727489306,1,1,0.170970224224629,0.237855223142032,-0.281463036553087,0.0251144764894467,-0.155022359717403,NA,NA,NA,-0.617035732706549,0.125931690249397,-0.326356031227711,0.056178533089723,-0.346165661939528,-0.398655989177119,-0.574003527711729,-0.333893483655625,0.103864395647679,-0.084302361102646,NA,NA,NA,-0.536429055168599,-0.375744725431308,0.398655989177119,-0.264863215687024,-0.550512003984224,-0.438312189803544,-0.67114728599397,-0.683470949478132,-0.676749286139501,0.105706012257952,-0.702612088204884,-0.672063736543802,-0.678173406876019,0.0127607172982668,-0.0800366813520346,-0.200702670413308,-0.140827901157588,0.096227307732408,0.0638460549716612,-0.377883110047583,-0.430426274904644
1,1,-1,1,1,1,1,1,-1,NA,NA,-1,NA,NA,NA,-1,1,1,1,1,-1,-1,-1,-1,1,NA,NA,NA,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1
0.187786268296079,0.222290086698448,0.0222900773749818,-0.0610687051369364,0.0625954227653598,0.170970224224629,1,1,0.0557337004512339,-0.0555140773983525,0.00635518165198866,0.0978639910393007,NA,NA,NA,-0.308070252050609,0.100575778754488,-0.0916310323762981,-0.0225531692343723,-0.163689114749925,-0.0418320630188014,0.0757251943698011,-0.0607633616112517,-0.669313008300823,-0.216852935173975,NA,NA,NA,-0.332519099470619,-0.0836641260376028,0.0418320630188014,0.0513290583077563,-0.184540185820743,-0.0690709175487137,-0.0348091619280537,-0.0271797224118346,-0.0183234083675289,0.444037029458572,-0.303816808056258,-0.130076341941675,-0.116030539760179,0.310783285373339,0.0500763382122878,-0.0146564892328647,0.0793893166780173,0.341984748766844,0.260152683883349,-0.457709945001338,-0.452519105064699
0.4393222459977,0.310181655270092,-0.00885361023900854,-0.204548926211577,0.48694856314547,0.237855223142032,-1,0.0557337004512339,1,-0.359532044705838,-0.636374263815294,0.151389094418165,NA,NA,NA,-0.355482060061256,0.397614676700478,-0.06962895179661,0.404821266848038,-0.535572519083969,-0.30010685741191,-0.317814077889927,0.0143489545252897,0.671958487450269,-0.368501959831027,NA,NA,NA,-0.422530916234063,-0.162112656445294,0.30010685741191,-0.315106188572534,-0.348556627398217,-0.288922926172793,-0.0415203790519021,-0.0390839694656489,-0.0177099236641221,0.0539673343755462,-0.304381014079018,-0.255838806216867,-0.268966573122984,0.359259147326065,0.239047476453231,0.12395054334612,0.108380401201656,-0.0717447726264485,-0.10960158882083,-0.402991914327285,-0.460082435523651
-0.417012326172109,-0.421088386503115,0.181541456280941,0.063649249784164,-0.397886196926621,-0.281463036553087,NA,-0.0555140773983525,-0.359532044705838,1,0.366425985461406,0.235271347751619,NA,NA,NA,0.161787773205245,-0.0110879787142237,0.0926802817582665,-0.0994095570238546,0.317354059522292,0.675371842537385,0.430808222677051,0.368413145302427,-0.168372645980769,0.334328400609968,NA,NA,NA,0.38722573144553,0.56249632567877,-0.675371842537385,0.575075697970476,0.638136371888678,0.650570885162422,0.21007387859798,0.199600651073062,0.204461311075627,0.0298321609069976,0.277799188713149,0.31950042133036,0.319813964432745,0.133209977654144,0.0294730516241942,0.0576919308388482,-0.0297865947265792,0.115070318575311,0.131688103001719,0.185303973509561,0.305390981723033
